Item code,Description,Lead time (Days)
357,**INACTIVE***DERMA SCIENCE 12 X 24 HYDROGEL 1/POUCH,0
358,**INACTIVE**EYE SHIELD FF B-CUP,14
359,**INACTIVE***EYE SHIELD PRI CLR B-CUP,14
360,**INACTIVE**EYE SHIELD PRI CLR C-CUP,14
361,**INACTIVE***EYE SHIELD PRI CLR D-CUP,14
362,**INACTIVE***EYESHIELD ADH BRA B BEIGE-RIGHT,0
363,**INACTIVE***EYESHIELD ADH BRA B BEIGE-LEFT,0
364,**INACTIVE***EYESHIELD SENSIVITY STRIP,0
365,**INACTIVE**PET 2 PSA LX-130 .5 IN,0
366,"""PURGE"" 3M 1513 6.857 IN",35
367,**INACTIVE***TYCO 3239C 3.25 IN,56
368,**INACTIVE**3M 1527L 6.6 MIL 1 PSA CLR PERF EVA 6 IN,0
369,**INACTIVE**3M RAYON NW 1 PSA 63# LNR 6 IN,0
370,**INACTIVE**3M 9907T ELASTIC NW 1 PSA 6 IN,0
371,**INACTIVE**3M 1538L WHT RAY ACET NW 1PSA 83# LNR 6 IN,0
372,**INACTIVE**TIGHT REL LNR 2.5 GENTELL,0
373,**INACTIVE**TIGHT REL LNR 3 IN GENTELL,0
374,**INACTIVE**TIGHT REL LNR 3.5 IN MPM,0
375,**INACTIVE**TIGHT REL LNR 4 IN MPM,0
376,**INACTIVE**TIGHT REL LNR 3.5 IN GENTELL,0
377,**INACTIVE**TIGHT REL LNR 4 IN GENTELL,0
378,**INACTIVE**TIGHT REL LNR 2.5 IN JERNIGAN,0
379,**INACTIVE**TIGHT REL LNR 3 IN JERNIGAN,0
380,**INACTIVE*TIGHT REL LNR 3.5 IN JERNIGAN,0
381,**INACTIVE**TIGHT REL LNR 4 IN JERNIGAN,0
382,**INACTIVE**18 MIL HYDROCOLLOID 11.8 IN,0
383,**INACTIVE**CLEAR 18 MIL HYDCOLLD MSTR,0
384,**INACTIVE**CLEAR 18 MIL HYDCOLLD 2 X 2,0
385,**INACTIVE**CLEAR 18 MIL HYDCOLLD 4.25 X 4,0
386,**INACTIVE**CLEAR 18 MIL HYDCOLLD 3.6 X 4,0
387,**INACTIVE**CLEAR 18 MIL HYDRCOLLD 6 X 6.5,0
388,"**INACTIVE**.5 MIL PET, 2 PSA",0
389,**INACTIVE**.53# LNR 3.5 IN DERMARITE BORDERED GAUZE,21
390,**INACTIVE**53# LNR 4 IN DERMARITE BORDERED GAUZE,21
391,**INACTIVE**53# LNR 2.5 IN DERMARITE BORDERED GAUZE,21
392,**INACTIVE**53# LNR 3 IN DERMARITE BORDERED GAUZE,21
393,**INACTIVE**HDS HYDROGEL 13.25 IN,42
394,BOX 12 X 12 X 12 #S-4125,1
395,**INACTIVE**BOX 16 X 16 X 10.5,0
396,BOX 12 X 12 X 3 #S-4460,1
397,BOX 12 X 12 X 24 #S-4455,1
398,"""PURGE"" BOX 38.5 X 3 X 4",7
399,BOX 13.5 X 13.5 X 7.5 #S-4388,3
400,**INACTIVE**BOX WHITE 5.5 X 5.5 X 3.5,0
401,**INACTIVE**BOX WHITE 7 X 7 X 4,0
402,**INACTIVE**CORE 2 IN W X .5 IN ID,0
403,WHITE CTN DATASCOPE 4 1/4 X 3 X 6,35
404,**INACTIVE**PENNCO 12 OZ JARS AQUA PATCH,35
405,**INACTIVE**8 OZ JARS MUELLER,35
406,IMPAK 5.25 X 8 ZIPLIP FOIL POUCH,35
407,**INACTIVE**CSEAL UP 3.25 IN,0
408,**INACTIVE**CSEAL LATEX WARNING 3.25 IN,0
409,**INACTIVE**CSEAL GENERIC TOP 3.25 IN,0
410,**inactive**BOMARKO CSEAL OXBORO LUCEL FRT 6.25 IN,0
411,**INACTIVE**BOMARKO CSEAL OXBORO GENTEL FRT 6.25 IN,0
412,**INACTIVE**BOMARKO  CSEAL OXBORO SILKEL FRT 6.25 IN,0
413,**INACTIVE**BOMARKO CSEAL OXBORO ELAST FRT 6.25 IN,0
414,**INACTIVE**BOMARKO CSEAL OXBORO LUCEL BCK 6.25 IN,0
415,DLS PLAS WHITE PE 6 IN SW,42
416,BOX 12 X 12 X 4 #S-4215,1
417,**INACTIVE**3M 1522 6.3 MIL 2 PSA CLR PE 3 IN,35
418,**INACTIVE**3M 1527L 6.6 MIL 1 PSA CLR PERF EVA 2.25 IN,0
419,INSUL-FAB/SPECTAPE CC 590A 1 IN,35
420,INSUL-FAB/SPECTAPE CC 590A 7.25 IN,35
421,**INACTIVE**INSUL-FAB/SPECTAPE CC 590A 7.5 IN,35
422,INSUL-FAB/SPECTAPE CC 590A 5.875 IN,35
423,**INACTIVE**INSUL-FAB/SPECTAPE CC 590A 3.5 IN,35
424,**INACTIVE**3 MIL LDPE 1 PSA 4 IN,0
425,**INACTIVE**3 MIL LDPE 1 PSA 6 IN,0
426,**INACTIVE**CS SEL MED DRMAFLX PE350 FW 6 IN,0
427,**INACTIVE**3M 9877 4.5 MIL TRANS PE 2 PSA 6 IN,0
428,**INACTIVE**3M 9877 4.9 MIL 2 PSA CLR PE 3 IN,0
429,**INACTIVE**TIGHT REL #53 LNR 6.375 IN,35
430,TIGHT REL 53# LNR 1.5 IN,21
431,**INACTIVE**EASY REL #53 LNR 6 IN,35
432,EASY REL #53 LNR 6.5 IN,35
433,**INACTIVE**MEDIUM REL 83# LNR 2.5 IN,105
434,**INACTIVE**MEDIUM REL 83# LNR 2 IN,21
435,"""PURGE"" HIGH GLOSS LABEL STOCK PRM 2 IN",7
436,CS BRAZABRA S/8007 SONT PAD 2 IN,60
437,**INACTIVE**PGI MEDISTRIP NW 3.5 IN,35
438,**INACTIVE**PGI MEDISTRIP NW 4.5 IN,35
439,**INACTIVE**ELASTIC WOVEN 1 PSA 5.4 IN,0
440,CS BRAZABRA BEIGE WOVEN 2.96875 IN,90
441,**INACTIVE**LUDLOW 1/8 IN WHT LATEX FOAM MSTR,42
442,LUDLOW 1/8 IN WHT LATEX FOAM 6 IN,42
443,BOX 10 X 10 X 10 #S-4105,1
444,BOX 14 X 14 X 14 #S-4142,3
445,BOX 15 X 15 X 15 #S-4318,1
446,**INACTIVE**BOX 14 X 14 X 10,0
447,**INACTIVE**BOX 15 X 15 X 12,0
448,**INACTIVE**175/105 14 X 14 UP,0
449,**INACTIVE**PRECEPT SHIELD,14
450,POLYBAG GUSSETED .75 MIL 8 X 3 X 15  S-8446,1
451,POLYBAG GUSSETED 6 X 3 X 12  S-15884,1
452,CORE 3 X .5 X .125 WHITE PAPER CORE,35
453,CORE 1 W X 3 ID,14
454,CORE 1.5 W X 3 ID,14
455,**INACTIVE**CORE 2 W X 3 ID,0
456,CORE 2.5 W X 3 ID,14
457,"CORE 3"" X 3"" X .125 WHITE PAPER CORES",14
458,**INACTIVE**CORE 4 W X 3 ID,0
