SONumber,LineNumber,ItemCode,ItemDescription,CustomerCode,CustomerName,OrderQuantity,UnitPrice,ExtendedLineAmount,Order date,Requested Ship date,lead_time_days,mfg_start_date,earliest_ship_date,feasibility,days_margin,Profit,late_penalty,holding_cost,adjusted_profit,ship_month
64845,1,3849,MEDISTRIP 1/4 IN X 1.5 IN BULK NON-STERILE,MEDL SLOV ,Medline Assembly Slovakia S.R.O,5.0,165.0,825.0,2025-12-29,2026-01-25,14,2026-02-25,2026-03-11,LATE,-45.0,20.04249999999999,18.03824999999999,0.0,2.004249999999999,2026-03
64902,1,3849,MEDISTRIP 1/4 IN X 1.5 IN BULK NON-STERILE,MEDL SLOV ,Medline Assembly Slovakia S.R.O,2.0,165.0,330.0,2026-01-19,2026-03-29,14,2026-02-25,2026-03-11,ON_TIME,18.0,8.016999999999996,0.0,0.18,7.836999999999996,2026-03
64971,1,3849,MEDISTRIP 1/4 IN X 1.5 IN BULK NON-STERILE,MEDL SLOV ,Medline Assembly Slovakia S.R.O,1.0,165.0,165.0,2026-02-05,2026-04-12,14,2026-02-25,2026-03-11,ON_TIME,32.0,4.008499999999998,0.0,0.16,3.848499999999998,2026-03
64974,1,3849,MEDISTRIP 1/4 IN X 1.5 IN BULK NON-STERILE,MEDL EURO ,Medline Assembly France SAS,1.0,165.0,165.0,2026-02-06,2026-04-13,14,2026-02-25,2026-03-11,ON_TIME,33.0,4.008499999999998,0.0,0.165,3.843499999999998,2026-03
64680,1,3850,MEDISTRIP 1/2 IN X 4 IN BULK NONSTERILE 3/CD,MEDL SLOV ,Medline Assembly Slovakia S.R.O,2.0,1943.0,3886.0,2025-10-14,,14,2026-02-25,2026-03-11,NO_DEADLINE,,1509.4444560000002,-0.0,0.0,1509.4444560000002,2026-03
64689,1,3850,MEDISTRIP 1/2 IN X 4 IN BULK NONSTERILE 3/CD,MEDL EURO ,Medline Assembly France SAS,3.0,1943.0,5829.0,2025-10-20,2025-12-28,14,2026-02-25,2026-03-11,LATE,-73.0,2264.1666840000003,2264.1666840000003,0.0,0.0,2026-03
64712,1,3850,MEDISTRIP 1/2 IN X 4 IN BULK NONSTERILE 3/CD,MEDL SLOV ,Medline Assembly Slovakia S.R.O,1.0,1943.0,1943.0,2025-10-27,2026-01-04,14,2026-02-25,2026-03-11,LATE,-66.0,754.7222280000001,754.7222280000001,0.0,0.0,2026-03
64761,1,3850,MEDISTRIP 1/2 IN X 4 IN BULK NONSTERILE 3/CD,MEDL EURO ,Medline Assembly France SAS,4.0,1943.0,7772.0,2025-11-18,2026-01-26,14,2026-02-25,2026-03-11,LATE,-44.0,3018.8889120000003,2656.6222425600004,0.0,362.26666944,2026-03
64798,2,3850,MEDISTRIP 1/2 IN X 4 IN BULK NONSTERILE 3/CD,MEDL SLOV ,Medline Assembly Slovakia S.R.O,2.0,1943.0,3886.0,2025-12-08,2026-02-18,14,2026-02-25,2026-03-11,LATE,-21.0,1509.4444560000002,633.9666715200001,0.0,875.4777844800001,2026-03
64835,1,3850,MEDISTRIP 1/2 IN X 4 IN BULK NONSTERILE 3/CD,MEDL EURO ,Medline Assembly France SAS,1.0,1943.0,1943.0,2025-12-23,2026-03-01,14,2026-02-25,2026-03-11,LATE,-10.0,754.7222280000001,150.94444560000002,0.0,603.7777824000001,2026-03
64845,2,3850,MEDISTRIP 1/2 IN X 4 IN BULK NONSTERILE 3/CD,MEDL SLOV ,Medline Assembly Slovakia S.R.O,2.0,1943.0,3886.0,2025-12-29,2026-01-25,14,2026-02-25,2026-03-11,LATE,-45.0,1509.4444560000002,1358.5000104000003,0.0,150.94444559999988,2026-03
64890,1,3850,MEDISTRIP 1/2 IN X 4 IN BULK NONSTERILE 3/CD,MEDL EURO ,Medline Assembly France SAS,2.0,1943.0,3886.0,2026-01-13,2026-03-22,14,2026-02-25,2026-03-11,ON_TIME,11.0,1509.4444560000002,0.0,0.11,1509.3344560000003,2026-03
64902,2,3850,MEDISTRIP 1/2 IN X 4 IN BULK NONSTERILE 3/CD,MEDL SLOV ,Medline Assembly Slovakia S.R.O,4.0,1943.0,7772.0,2026-01-19,2026-03-29,14,2026-02-25,2026-03-11,ON_TIME,18.0,3018.8889120000003,0.0,0.36,3018.528912,2026-03
64971,2,3850,MEDISTRIP 1/2 IN X 4 IN BULK NONSTERILE 3/CD,MEDL SLOV ,Medline Assembly Slovakia S.R.O,3.0,1943.0,5829.0,2026-02-05,2026-04-12,14,2026-02-25,2026-03-11,ON_TIME,32.0,2264.1666840000003,0.0,0.48,2263.6866840000002,2026-03
64974,2,3850,MEDISTRIP 1/2 IN X 4 IN BULK NONSTERILE 3/CD,MEDL EURO ,Medline Assembly France SAS,4.0,1943.0,7772.0,2026-02-06,2026-04-13,14,2026-02-25,2026-03-11,ON_TIME,33.0,3018.8889120000003,0.0,0.66,3018.2289120000005,2026-03
64689,2,3851,MEDISTRIP 1/4 IN X 4 IN BULK NON-STERILE 5/CD,MEDL EURO ,Medline Assembly France SAS,2.0,195.0,390.0,2025-10-20,2025-12-28,14,2026-02-25,2026-03-11,LATE,-73.0,-11.602495999999974,-11.602495999999974,0.0,0.0,2026-03
64712,2,3851,MEDISTRIP 1/4 IN X 4 IN BULK NON-STERILE 5/CD,MEDL SLOV ,Medline Assembly Slovakia S.R.O,3.0,195.0,585.0,2025-10-27,2026-01-04,14,2026-02-25,2026-03-11,LATE,-66.0,-17.40374399999996,-17.40374399999996,0.0,0.0,2026-03
64761,2,3851,MEDISTRIP 1/4 IN X 4 IN BULK NON-STERILE 5/CD,MEDL EURO ,Medline Assembly France SAS,3.0,195.0,585.0,2025-11-18,2026-01-26,14,2026-02-25,2026-03-11,LATE,-44.0,-17.40374399999996,-15.315294719999965,0.0,-2.0884492799999954,2026-03
64798,3,3851,MEDISTRIP 1/4 IN X 4 IN BULK NON-STERILE 5/CD,MEDL SLOV ,Medline Assembly Slovakia S.R.O,3.0,195.0,585.0,2025-12-08,2026-02-18,14,2026-02-25,2026-03-11,LATE,-21.0,-17.40374399999996,-7.309572479999983,0.0,-10.094171519999978,2026-03
64835,2,3851,MEDISTRIP 1/4 IN X 4 IN BULK NON-STERILE 5/CD,MEDL EURO ,Medline Assembly France SAS,1.0,195.0,195.0,2025-12-23,2026-03-01,14,2026-02-25,2026-03-11,LATE,-10.0,-5.801247999999987,-1.1602495999999973,0.0,-4.640998399999989,2026-03
64845,3,3851,MEDISTRIP 1/4 IN X 4 IN BULK NON-STERILE 5/CD,MEDL SLOV ,Medline Assembly Slovakia S.R.O,2.0,195.0,390.0,2025-12-29,2026-01-25,14,2026-02-25,2026-03-11,LATE,-45.0,-11.602495999999974,-10.442246399999977,0.0,-1.1602495999999967,2026-03
64890,2,3851,MEDISTRIP 1/4 IN X 4 IN BULK NON-STERILE 5/CD,MEDL EURO ,Medline Assembly France SAS,4.0,195.0,780.0,2026-01-13,2026-03-22,14,2026-02-25,2026-03-11,ON_TIME,11.0,-23.204991999999947,-0.0,0.22,-23.424991999999946,2026-03
64902,3,3851,MEDISTRIP 1/4 IN X 4 IN BULK NON-STERILE 5/CD,MEDL SLOV ,Medline Assembly Slovakia S.R.O,2.0,195.0,390.0,2026-01-19,2026-03-29,14,2026-02-25,2026-03-11,ON_TIME,18.0,-11.602495999999974,-0.0,0.18,-11.782495999999973,2026-03
64971,3,3851,MEDISTRIP 1/4 IN X 4 IN BULK NON-STERILE 5/CD,MEDL SLOV ,Medline Assembly Slovakia S.R.O,1.0,195.0,195.0,2026-02-05,2026-04-12,14,2026-02-25,2026-03-11,ON_TIME,32.0,-5.801247999999987,-0.0,0.16,-5.961247999999987,2026-03
64974,3,3851,MEDISTRIP 1/4 IN X 4 IN BULK NON-STERILE 5/CD,MEDL EURO ,Medline Assembly France SAS,5.0,195.0,975.0,2026-02-06,2026-04-13,14,2026-02-25,2026-03-11,ON_TIME,33.0,-29.00623999999993,-0.0,0.8250000000000001,-29.83123999999993,2026-03
